activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
1102897;105200;241219;590587;512858;1501;0;1103445;0;1103445;4;3769764;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
480863;34500;245965;136193;443118;1501;0;579311;0;579311;4;2189007;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2049998;649945;491563;1350903;1836752;1501;0;3187655;0;3187655;5;3910736;1;4;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE
2919574;2478552.625;299007;1549694;2680952;1501;9152;6233081;460772.5;6233081;8;3585554;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2555625;10000;991458;275348;2285303;1501;0;2560651;0;2560651;6;3964363;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1474301;20000;545606;1118968;766862;1501;0;1885830;0;1885830;5;3572461;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
265028;52000;147445;525540;34596;1501;0;560136;0;560136;4;2208167;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
6929849;2478552.625;2182164;1763216;5865724.375;1501;26544;8141532;263666;8141532;11;4965252;3;3;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1447978;1149230;509496;423467;1187455;1501;19559;1716726;105804;1716726;8;3090045;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
927547;157500;1096634;70529;1587814;1501;676;1697894;39551;1697894;14;2931593;8;3;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
170783;126141;550296;205385;177781;1501;0;383166;0;383166;2;2112623;2;2;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
559863;45000;213576;6129;553734;1501;0;559863;0;559863;3;2313568;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
315436;315000;206962;665882;616845;1501;0;1713640;430913;1713640;3;2287848;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
285599;6000;287885;580007;429992;1501;0;1009999;0;1009999;4;3597735;2;1;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1335931;5000;541671;25068;1424500;1501;302;1449568;0;1449568;6;5488941;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
3507607;36509;527206;1823007;1855236;1501;0;3678243;0;3678243;6;3093523;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1542477;730365;2;1070784;998119;1501;407;2231140;162237;2231140;31;10;5;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1411495;30000;606129;537492;572478;1501;0;1429970;320000;1429970;3;4040861;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
5349144;918642;2173396;3303439;1447320;1501;4841;5419604;460772.5;5419604;10;8514726;9;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
625703;60000;3281143.25;0;337854;1501;4350;827775;460772.5;827775;8;4037200;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
580069;206000;1036688;62441;1208408;1501;0;2533200;460772.5;2533200;12;5844881;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1455625;150000;434322;1084868;586627;1501;0;1671495;0;1671495;6;3908576;9;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1306470;370000;340197;541868;1082419;1501;0;1624287;0;1624287;1;2144164;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
3780517;1131730;2430788;848424;4277068;1501;1921;5984544;460772.5;5984544;13;5983393;1;6;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
406016;1500;482294;309529;522129;1501;0;879601;47943;879601;6;4309116;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
4016833;80000;22669;3756047;260786;1501;0;4016833;0;4016833;0;2852247;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2102367;100000;826326;304317;1848440;1501;0;2152757;0;2152757;11;4143129;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
640152;1000;2325585;409452;0;1501;280952;1373173;460772.5;1373173;26;5465407;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1152137;290702;2084860;586806;522586;1501;126;1380985;271593;1380985;15;4434325;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
1145851;50000;192242;493225;680196;1501;0;1173421;0;1173421;1;3152842;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
5799841;180000;1380700;1084327;5865724.375;1501;3745;7224737;42191;7224737;15;6230188;1;2;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1162204;514158;263770;613274;604757;1501;0;1218031;0;1218031;4;2751169;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1349532;10000;640185;73069;1788234;1501;0;1861303;0;1861303;8;4968828;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2088357;150002;1004097;2100531;704201;1501;0;2804732;0;2804732;14;3624355;2;2;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
2407602;720000;1158851;422806;1238385;1501;0;3094659;460772.5;3094659;5;5295706;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
1794559;50762;682916;982426;801007;1501;0;1824254;40821;1824254;11;3849995;4;2;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1257533;20000;311722;974937;388104;1501;0;1363041;0;1363041;6;3169925;1;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE
1210284;360000;438284;4820;737634;1501;0;1578583;460772.5;1578583;3;2695389;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1777840;2478552.625;16305;773600;1071982;1501;0;1845582;0;1845582;0;3491305;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1405664;140500;1577233;301874;1144452;1501;0;1446326;0;1446326;9;2536707;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
3234241;1000075;970620;3064736;1852357;1501;0;4917093;0;4917093;16;3896676;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
453380;9400;599138;320884;700311;1501;0;1021195;0;1021195;12;4174237;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
335509;5550;1116884;313810;417907;1501;0;731717;0;731717;8;2246954;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1974327;22000;1023736;794478;1306006;1501;0;2100484;0;2100484;4;6262937;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1857723;22300;431710;50070;1937769;1501;0;1987839;0;1987839;6;2222252;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1537744;500;684308;1438801;116468;1501;3;1556140;871;1556140;2;2115127;9;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
7268155;1487983;1008314;5277292.25;2779381;1501;60015;8474339;0;8474339;16;2906415;3;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1019240;380000;1327997;806865;733662;1501;121386;1540527;0;1540527;13;2667059;3;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
655147;293919;216189;418;655698;1501;0;656116;0;656116;2;2567750;9;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
761348;114900;944600;582889;991779;1501;0;1574668;0;1574668;7;6499694;2;1;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
3249511;20000;630072;0;961579;1501;186;3345815;460772.5;3345815;4;3222235;2;3;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
669976;167280;871368;501066;378814;1501;21;879880;0;879880;5;2568677;3;3;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1101811;500000;585034;535461;1163369;1501;0;1698830;0;1698830;9;4814182;2;1;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
3076991;90000;878072;1497676;835548;1501;0;3612061;460772.5;3612061;5;2304061;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2139081;200000;1166003;773045;1465072;1501;0;2238117;0;2238117;5;4580758;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1306966;115000;489832;863176;499195;1501;215;1362371;0;1362371;13;5116002;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
880131;120000;408174;0;281811;1501;0;911340;460772.5;911340;10;3328451;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
616392;500000;444483;2759;1174981;1501;0;1177740;0;1177740;0;2222414;7;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
1213979;20960;359448;444767;557629;1501;0;1248961;246565;1248961;7;2396319;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
826798;51808;404042;272851;565596;1501;0;838447;0;838447;1;2535348;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
261908;103839;113072;0;516153;1501;0;519743;3590;519743;3;8146233;2;1;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
2010142;56812;1112305;0;3090784;1501;0;3300260;209476;3300260;5;5547574;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
