activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
2041421;36000;780862;2802217;-495918;1501;162512;2306299;0;2306299;4;807974;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
393134;5000;54216;394000;36934;1501;0;430934;0;430934;1;5485026;ventas_telefono;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0
3319728;500;1260807;4050809;-960213;1501;10102;3469304;378708;3469304;7;2911373;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
878165;294006;860948;345128;651341;1501;0;996469;0;996469;13;6582852;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
353881;50000;606861;439908;262898;1501;0;702806;0;702806;3;3849333;ventas_domicilio;3;1;0;0;1;0;0;0;1;0;1;0;0;0;1
1235050;783858;992341;690100;1303314;1501;0;1993414;0;1993414;4;5784519;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
1069050;20000;529980;1023228;306473;1501;0;1329701;0;1329701;3;4315955;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
340961;28000;192832;45811;295150;1501;0;340961;0;340961;1;3080372;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11142596;2008308;1817314;4041079;2014854;1501;2956505;16929955;10874022;16929955;44;5145712;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
823866;2000;355478;557085;656859;1501;0;1213944;0;1213944;7;7109552;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
498813;10000;302837;379918;126416;1501;0;588091;81757;588091;8;5005331;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
385119;500000;381344;138530;758053;1501;8038;896583;0;896583;9;4437887;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1151036;12500;854551;859195;120139;1501;82658;1220082;240748;1220082;3;3308970;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
846642;2000;401554;683909;208902;1501;48;892811;0;892811;7;2260960;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1541815;52000;280879;627381;1029349;1501;41300;1656730;0;1656730;9;2187203;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1024000;620000;622000;487000;1439000;1501;0;1926000;0;1926000;8;7916000;ventas_mostrador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
376315;51100;201672;426347;164372;1501;0;590719;0;590719;1;2231300;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
482417;5500;0;53185;429232;1501;0;482417;0;482417;14;0;ventas_catalogo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
916091;54370;352945;0;687694;1501;70;922222;234528;922222;6;2136417;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1031820;325000;365129;161724;784875;1501;0;1119123;172524;1119123;8;6077356;ventas_ecommerce;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1
4370949;100000;1268098;4368968;79198;1501;35670;4448166;0;4448166;8;4208892;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1617610;1020000;1467000;622474;1828151;1501;19312;2450625;0;2450625;25;3719551;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
4753498;1000;1882045;704191;4347152;1501;10094;5051343;0;5051343;20;5259075;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7474517;1213159;3745927;4368185;3810184;1501;5151;8178369;0;8178369;15;8205975;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1517567;938460;602868;804580;1729478;1501;0;2534058;0;2534058;7;5449786;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2110395;6000;2793004;748587;1528757;1501;2325;2277344;0;2277344;17;4321553;ventas_comisionistas;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1866848;2000;647449;1375535;729263;1501;0;2113642;8844;2113642;4;2641726;ventas_mostrador;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
955150;67552;208789;1086038;-130221;1501;0;955817;0;955817;1;2417776;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1367201;447470;57829;1368579;83596;1501;0;2143922;691747;2143922;11;2060000;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
