IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
168022;VENTAS DE ARTICULOS DE CONSTRUCCION AL POR MAYOR;CEMENTO;1031820;4663;325000;325000;15;150142;0;0;0;CEMENTO;365129;12;161724;784875;0;1501;0;1119123;172524;1119123;8;6077356;6077356;0;ventas_ecommerce;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6077356;0;0;0;0;0;6077356;6077356;0;2019;1
168358;VENTA DE TELAS AL POR MAYOR PARA UNIFORMES DE EMPRESAS;;4370949;4641;100000;100000;15;150199;0;0;0;VENTA AL POR MAYOR DE TELAS;1268098;12;4368968;79198;0;1501;35670;4448166;0;4448166;8;4208892;4208892;0;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4208892;0;0;0;0;0;0;4208892;4208892;0;2019;0
168360;VENTA DE PRODUCTOS OFTALMICOS;;1617610;4649;1020000;1020000;15;150199;0;90991;0;PRODUCTOS DE MATERIALES DE OPTICA;1467000;12;622474;1828151;0;1501;19312;2450625;0;2450625;25;3719551;3719551;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2483439;1236112;0;3719551;3719551;0;2019;0
168362;COMERCIO E INSTALACION DE ACCESORIOS Y LAMINAS DEL AREA AUTOMOTRIZ;;4753498;4530;1000;1000;15;150199;0;700366;0;ACCESORIOS AUTOMOTRICES;1882045;12;704191;4347152;0;1501;10094;5051343;0;5051343;20;5259075;5259075;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5259075;0;0;5259075;5259075;0;2019;0
168382;COMERCIALIZACION DE EQUIPOS DE TECNOLOGIA PARA LA ENSEÑANZA;;7474517;4690;1213159;1213159;15;150199;0;0;0;MESA DE DISECCION ANATOMICA;3745927;12;4368185;3810184;194877;1501;5151;8178369;0;8178369;15;8400852;8205975;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8205975;0;8205975;8205975;0;2019;0
168392;VENTA DE COMBUSTIBLES;;1517567;4661;938460;938460;15;150199;0;0;0;MAXD DIESEL B5;602868;12;804580;1729478;0;1501;0;2534058;0;2534058;7;5449786;5449786;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5449786;0;0;5449786;5449786;0;2019;0
168402;COMPRA Y VENTA DE SELLOS MECANICOS Y AFINES;;2110395;4690;6000;6000;15;150199;0;0;0;SELLOS MECANICOS;2793004;12;748587;1528757;0;1501;2325;2277344;0;2277344;17;4321553;4321553;0;ventas_comisionistas;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4321553;0;0;0;0;0;0;0;4321553;4321553;0;2019;0
168413;VENTAS ARTICULOS DE FERRETERIA;;1866848;4663;2000;2000;15;150199;0;0;0;VENTAS DE BISAGRAS;647449;4;1375535;729263;0;1501;0;2113642;8844;2113642;4;2641726;2641726;0;ventas_mostrador;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2641726;0;0;2641726;2641726;0;2019;0
168434;VENTA AL POR MAYOR NO ESPECIALIZADA;;955150;4669;67552;67552;15;150199;0;0;0;TINTAS;208789;12;1086038;-130221;0;1501;0;955817;0;955817;1;2417776;2417776;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2417776;0;2417776;2417776;0;2019;0
168435;VENTA DE ESTANTES METALICOS;;1367201;4719;447470;447470;15;150199;0;0;0;ESTANTERIA METALICAS;57829;11;1368579;83596;0;1501;0;2143922;691747;2143922;11;4060475;2060000;2000475;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2060000;2060000;2060000;0;2019;0
